call_key,run,call_seq,n,n_low,n_high,high_share,mix,minutes,dup_share,first_copy_pos,near_dup_share,start,end
r3c047,3,50,55,55,0,0.0,low only,3.4498998166666666,0.0,,0.0,2026-09-11 14:51:30.983466+00:00,2026-09-11 14:54:57.977455+00:00
r3c048,3,51,100,50,50,0.5,mixed,3.0520516333333334,0.0,,0.0,2026-09-11 15:02:29.680127+00:00,2026-09-11 15:05:32.803225+00:00
r3c049,3,52,100,50,50,0.5,mixed,2.6719298833333336,0.0,,0.0,2026-09-11 15:11:39.710274+00:00,2026-09-11 15:14:20.026067+00:00
r3c050,3,53,278,139,139,0.5,mixed,12.536711283333334,0.0,,0.0,2026-09-11 15:14:52.380996+00:00,2026-09-11 15:27:24.583673+00:00
r3c051,3,54,696,348,348,0.5,mixed,12.226675633333334,0.1824712643678161,233.0,0.09666080843585237,2026-09-11 15:27:32.188915+00:00,2026-09-11 15:39:45.789453+00:00
r3c052,3,55,256,128,128,0.5,mixed,11.460186216666667,0.0,,0.0,2026-09-11 15:41:24.835850+00:00,2026-09-11 15:52:52.447023+00:00
r3c053,3,56,100,50,50,0.5,mixed,1.3198708166666668,0.0,,0.0,2026-09-11 15:55:07.995980+00:00,2026-09-11 15:56:27.188229+00:00
r3c054,3,57,136,136,0,0.0,low only,12.439815650000002,0.0,,0.0,2026-09-11 15:57:01.952797+00:00,2026-09-11 16:09:28.341736+00:00
r3c055,3,58,100,50,50,0.5,mixed,4.241253033333333,0.0,,0.0,2026-09-11 16:11:07.586550+00:00,2026-09-11 16:15:22.061732+00:00
r3c056,3,59,100,50,50,0.5,mixed,4.973939033333334,0.0,,0.0,2026-09-11 16:16:39.377278+00:00,2026-09-11 16:21:37.813620+00:00
r3c057,3,60,100,50,50,0.5,mixed,3.55072485,0.0,,0.0,2026-09-11 16:28:15.482228+00:00,2026-09-11 16:31:48.525719+00:00
r3c058,3,61,141,71,70,0.49645390070921985,mixed,6.821145316666667,0.0,,0.0,2026-09-11 16:32:28.046075+00:00,2026-09-11 16:39:17.314794+00:00
r3c059,3,62,175,88,87,0.49714285714285716,mixed,11.136990633333333,0.0,,0.0,2026-09-11 16:41:14.970635+00:00,2026-09-11 16:52:23.190073+00:00
r3c060,3,63,733,367,366,0.49931787175989084,mixed,11.324503783333334,0.5839017735334243,24.0,0.006557377049180328,2026-09-11 16:52:37.084422+00:00,2026-09-11 17:03:56.554649+00:00
r3c061,3,64,521,521,0,0.0,low only,12.726112766666667,0.472168905950096,275.0,0.014545454545454545,2026-09-11 17:04:07.808209+00:00,2026-09-11 17:16:51.374975+00:00
r3c062,3,65,100,50,50,0.5,mixed,3.1153698333333333,0.0,,0.0,2026-09-11 17:25:28.131331+00:00,2026-09-11 17:28:35.053521+00:00
r3c063,3,66,197,50,147,0.7461928934010152,mixed,3.5502201166666665,0.0,,0.2131979695431472,2026-09-11 17:28:54.096583+00:00,2026-09-11 17:32:27.109790+00:00
r3c064,3,67,188,94,94,0.5,mixed,10.274771616666667,0.0,,0.0,2026-09-11 17:33:19.772156+00:00,2026-09-11 17:43:36.258453+00:00
r3c065,3,68,623,312,311,0.49919743178170145,mixed,11.163943933333334,0.6468699839486356,82.0,0.1,2026-09-11 17:43:51.966555+00:00,2026-09-11 17:55:01.803191+00:00
r3c066,3,69,137,69,68,0.49635036496350365,mixed,9.470195466666667,0.0,,0.0,2026-09-11 17:55:22.730960+00:00,2026-09-11 18:04:50.942688+00:00
r3c067,3,70,100,50,50,0.5,mixed,3.0316520000000002,0.0,,0.0,2026-09-11 18:12:33.989706+00:00,2026-09-11 18:15:35.888826+00:00
r3c068,3,71,100,50,50,0.5,mixed,2.6924419333333334,0.0,,0.0,2026-09-11 18:23:42.678312+00:00,2026-09-11 18:26:24.224828+00:00
r3c069,3,72,161,87,74,0.45962732919254656,mixed,12.675439066666666,0.0,,0.0,2026-09-11 18:26:45.553245+00:00,2026-09-11 18:39:26.079589+00:00
r3c070,3,73,100,50,50,0.5,mixed,3.399756733333333,0.0,,0.0,2026-09-11 18:47:32.715154+00:00,2026-09-11 18:50:56.700558+00:00
r3c071,3,74,100,50,50,0.5,mixed,2.999157166666667,0.0,,0.0,2026-09-11 18:57:31.952548+00:00,2026-09-11 19:00:31.901978+00:00
r3c072,3,75,100,50,50,0.5,mixed,3.04868175,0.0,,0.0,2026-09-11 19:06:26.092136+00:00,2026-09-11 19:09:29.013041+00:00
r3c073,3,76,45,23,22,0.4888888888888889,mixed,2.625171283333333,0.0,,0.0,2026-09-11 19:13:57.227387+00:00,2026-09-11 19:16:34.737664+00:00
r3c074,3,77,100,50,50,0.5,mixed,2.6522309500000003,0.0,,0.0,2026-09-11 19:22:10.840480+00:00,2026-09-11 19:24:49.974337+00:00
r3c075,3,78,209,104,105,0.5023923444976076,mixed,9.392405966666667,0.0,,0.0,2026-09-11 19:25:12.770819+00:00,2026-09-11 19:34:36.315177+00:00
r3c076,3,79,100,50,50,0.5,mixed,2.5589105,0.0,,0.0,2026-09-11 19:41:37.986204+00:00,2026-09-11 19:44:11.520834+00:00
r3c077,3,80,100,50,50,0.5,mixed,3.5479148166666667,0.0,,0.0,2026-09-11 19:51:24.427578+00:00,2026-09-11 19:54:57.302467+00:00
r3c078,3,81,100,50,50,0.5,mixed,3.8352446166666665,0.0,,0.0,2026-09-11 20:03:20.880759+00:00,2026-09-11 20:07:10.995436+00:00
r3c079,3,82,631,316,315,0.49920760697305866,mixed,12.29839565,0.0,,0.003169572107765452,2026-09-11 20:07:28.670558+00:00,2026-09-11 20:19:46.574297+00:00
r3c080,3,83,100,50,50,0.5,mixed,3.2437620166666665,0.0,,0.0,2026-09-11 20:27:47.324309+00:00,2026-09-11 20:31:01.950030+00:00
r3c081,3,84,49,49,0,0.0,low only,1.80889315,0.0,,0.0,2026-09-11 20:42:18.144468+00:00,2026-09-11 20:44:06.678057+00:00
r3c082,3,85,54,27,27,0.5,mixed,1.5230650166666666,0.0,,0.0,2026-09-11 20:44:31.441813+00:00,2026-09-11 20:46:02.825714+00:00
r3c083,3,86,199,100,99,0.49748743718592964,mixed,12.7419689,0.0,,0.0,2026-09-11 20:46:22.044556+00:00,2026-09-11 20:59:06.562690+00:00
r3c084,3,87,100,50,50,0.5,mixed,3.2509679666666664,0.0,,0.0,2026-09-11 21:05:55.496276+00:00,2026-09-11 21:09:10.554354+00:00
r3c085,3,88,648,324,324,0.5,mixed,12.8416892,0.0787037037037037,260.0,0.04187604690117253,2026-09-11 21:09:21.503010+00:00,2026-09-11 21:22:12.004362+00:00
r3c086,3,89,100,50,50,0.5,mixed,2.3307112166666664,0.0,,0.0,2026-09-11 21:26:11.300315+00:00,2026-09-11 21:28:31.142988+00:00
r3c087,3,90,100,50,50,0.5,mixed,3.29852875,0.0,,0.0,2026-09-11 21:35:25.972018+00:00,2026-09-11 21:38:43.883743+00:00
r3c088,3,91,302,225,77,0.25496688741721857,mixed,12.65631185,0.3708609271523179,113.0,0.0,2026-09-11 21:39:09.913393+00:00,2026-09-11 21:51:49.292104+00:00
r3c089,3,92,600,600,0,0.0,low only,10.803178683333334,0.35333333333333333,368.0,0.09020618556701031,2026-09-11 21:52:02.473207+00:00,2026-09-11 22:02:50.663928+00:00
r3c090,3,93,564,564,0,0.0,low only,12.74106675,0.4521276595744681,309.0,0.0,2026-09-11 22:03:11.955586+00:00,2026-09-11 22:15:56.419591+00:00
r3c091,3,94,235,118,117,0.4978723404255319,mixed,12.497556466666667,0.0,,0.0,2026-09-11 22:16:30.408038+00:00,2026-09-11 22:29:00.261426+00:00
r3c092,3,95,100,50,50,0.5,mixed,5.102784833333333,0.0,,0.0,2026-09-11 22:29:53.725616+00:00,2026-09-11 22:34:59.892706+00:00
r3c093,3,96,241,0,241,1.0,high only,12.690356933333334,0.0,,0.0,2026-09-11 22:35:25.520946+00:00,2026-09-11 22:48:06.942362+00:00
r3c094,3,97,239,120,119,0.497907949790795,mixed,12.573236766666668,0.0,,0.0,2026-09-11 22:48:38.776562+00:00,2026-09-11 23:01:13.170768+00:00
r3c095,3,98,173,87,86,0.49710982658959535,mixed,10.83865695,0.0,,0.0,2026-09-11 23:03:28.574966+00:00,2026-09-11 23:14:18.894383+00:00
r3c096,3,99,528,264,264,0.5,mixed,10.889207216666668,0.12121212121212122,109.0,0.1724137931034483,2026-09-11 23:14:28.226780+00:00,2026-09-11 23:25:21.579213+00:00
r3c097,3,100,100,50,50,0.5,mixed,2.185947016666667,0.0,,0.0,2026-09-11 23:25:32.686268+00:00,2026-09-11 23:27:43.843089+00:00
r3c098,3,101,100,50,50,0.5,mixed,3.1475652999999997,0.0,,0.0,2026-09-11 23:35:36.827455+00:00,2026-09-11 23:38:45.681373+00:00
r3c099,3,102,100,50,50,0.5,mixed,5.7649538,0.0,,0.0,2026-09-11 23:40:39.970478+00:00,2026-09-11 23:46:25.867706+00:00
r3c100,3,103,100,50,50,0.5,mixed,2.05109355,0.0,,0.0,2026-09-11 23:52:21.987412+00:00,2026-09-11 23:54:25.053025+00:00
r3c101,3,104,326,163,163,0.5,mixed,12.764566199999999,0.0,,0.0,2026-09-11 23:54:44.173681+00:00,2026-09-12 00:07:30.047653+00:00
r3c102,3,105,100,50,50,0.5,mixed,2.67680245,0.0,,0.0,2026-09-12 00:12:14.332159+00:00,2026-09-12 00:14:54.940306+00:00
r3c103,3,106,100,50,50,0.5,mixed,2.332862216666667,0.0,,0.0,2026-09-12 00:18:57.220630+00:00,2026-09-12 00:21:17.192363+00:00
r3c104,3,107,100,50,50,0.5,mixed,1.6547287333333334,0.0,,0.0,2026-09-12 00:25:07.277657+00:00,2026-09-12 00:26:46.561381+00:00
r3c105,3,108,438,219,219,0.5,mixed,12.597063499999999,0.0,,0.2876712328767123,2026-09-12 00:26:57.371607+00:00,2026-09-12 00:39:33.195417+00:00
r3c106,3,109,100,50,50,0.5,mixed,2.2340226166666666,0.0,,0.0,2026-09-12 00:40:20.010918+00:00,2026-09-12 00:42:34.052275+00:00
r3c107,3,110,100,50,50,0.5,mixed,3.0039268000000003,0.0,,0.0,2026-09-12 00:46:32.875740+00:00,2026-09-12 00:49:33.111348+00:00
r3c108,3,111,58,58,0,0.0,low only,4.445394983333333,0.0,,0.0,2026-09-12 00:49:54.898958+00:00,2026-09-12 00:54:21.622657+00:00
r3c109,3,112,100,50,50,0.5,mixed,2.9615987833333337,0.0,,0.0,2026-09-12 01:01:31.746858+00:00,2026-09-12 01:04:29.442785+00:00
r3c110,3,113,550,550,0,0.0,low only,12.94762165,0.3690909090909091,331.0,0.5273775216138329,2026-09-12 01:04:38.480700+00:00,2026-09-12 01:17:35.337999+00:00
r3c111,3,114,189,129,60,0.31746031746031744,mixed,11.736940916666667,0.0,,0.0,2026-09-12 01:18:55.537074+00:00,2026-09-12 01:30:39.753529+00:00
r3c112,3,115,94,50,44,0.46808510638297873,mixed,3.9004762833333335,0.0,,0.0,2026-09-12 01:39:52.031091+00:00,2026-09-12 01:43:46.059668+00:00
r3c113,3,116,566,283,283,0.5,mixed,12.728904766666666,0.012367491166077738,261.0,0.16279069767441862,2026-09-12 01:44:03.993850+00:00,2026-09-12 01:56:47.728136+00:00
r3c114,3,117,100,50,50,0.5,mixed,2.9464056,0.0,,0.0,2026-09-12 01:57:04.468885+00:00,2026-09-12 02:00:01.253221+00:00
r3c115,3,118,436,218,218,0.5,mixed,8.66010985,0.5848623853211009,77.0,0.011049723756906077,2026-09-12 02:05:15.190982+00:00,2026-09-12 02:13:54.797573+00:00
r3c116,3,119,487,244,243,0.4989733059548255,mixed,12.946495466666667,0.006160164271047228,226.0,0.012396694214876033,2026-09-12 02:14:03.296062+00:00,2026-09-12 02:27:00.085790+00:00
r3c117,3,120,99,50,49,0.494949494949495,mixed,2.4799260333333333,0.0,,0.0,2026-09-12 02:33:22.267145+00:00,2026-09-12 02:35:51.062707+00:00
r3c118,3,121,280,140,140,0.5,mixed,10.33416845,0.0,,0.0,2026-09-12 02:38:09.760168+00:00,2026-09-12 02:48:29.810275+00:00
r3c119,3,122,203,127,76,0.37438423645320196,mixed,5.096405333333333,0.0,,0.0,2026-09-12 02:48:50.291564+00:00,2026-09-12 02:53:56.075884+00:00
r3c120,3,123,100,50,50,0.5,mixed,2.2871795666666666,0.0,,0.0,2026-09-12 02:59:00.014626+00:00,2026-09-12 03:01:17.245400+00:00
r3c121,3,124,150,50,100,0.6666666666666666,mixed,3.4314612833333333,0.0,,0.0,2026-09-12 03:01:35.091674+00:00,2026-09-12 03:05:00.979351+00:00
r3c122,3,125,234,117,117,0.5,mixed,10.681133999999998,0.0,,0.0,2026-09-12 03:05:21.408594+00:00,2026-09-12 03:16:02.276634+00:00
r3c123,3,126,147,72,75,0.5102040816326531,mixed,11.989500116666667,0.0,,0.0,2026-09-12 03:17:07.034021+00:00,2026-09-12 03:29:06.404028+00:00
r3c124,3,127,201,74,127,0.6318407960199005,mixed,12.054004099999998,0.0,,0.0,2026-09-12 03:30:08.277292+00:00,2026-09-12 03:42:11.517538+00:00
r3c125,3,128,100,50,50,0.5,mixed,2.9291698999999998,0.0,,0.0,2026-09-12 03:50:04.830952+00:00,2026-09-12 03:53:00.581146+00:00
r3c126,3,129,649,325,324,0.49922958397534667,mixed,11.619501916666668,0.5839753466872111,119.0,0.014814814814814815,2026-09-12 03:53:11.005754+00:00,2026-09-12 04:04:48.175869+00:00
r3c127,3,130,100,50,50,0.5,mixed,2.9327855166666668,0.0,,0.0,2026-09-12 04:10:05.189793+00:00,2026-09-12 04:13:01.156924+00:00
r3c128,3,131,100,50,50,0.5,mixed,1.2043572,0.0,,0.0,2026-09-12 04:15:14.477878+00:00,2026-09-12 04:16:26.739310+00:00
r3c129,3,132,100,50,50,0.5,mixed,2.89569435,0.0,,0.0,2026-09-12 04:24:08.199160+00:00,2026-09-12 04:27:01.940821+00:00
r3c130,3,133,632,316,316,0.5,mixed,12.89446315,0.0,,0.0,2026-09-12 04:27:14.049294+00:00,2026-09-12 04:40:07.717083+00:00
r3c131,3,134,100,50,50,0.5,mixed,3.7820464166666667,0.0,,0.0,2026-09-12 04:49:22.485893+00:00,2026-09-12 04:53:09.408678+00:00
r3c132,3,135,707,354,353,0.49929278642149927,mixed,10.363362933333333,0.15558698727015557,92.0,0.2998324958123953,2026-09-12 04:53:23.627444+00:00,2026-09-12 05:03:45.429220+00:00
r3c133,3,136,100,50,50,0.5,mixed,2.1740265333333335,0.0,,0.0,2026-09-12 05:09:28.109540+00:00,2026-09-12 05:11:38.551132+00:00
r3c134,3,137,292,146,146,0.5,mixed,12.7398289,0.0,,0.0,2026-09-12 05:11:59.734267+00:00,2026-09-12 05:24:44.124001+00:00
